Date,First Team,Second Team,Stadium
" Fri, Mar 29 - 7:00 PM ", RCB , KKR ,M.Chinnaswamy Stadium • Bengaluru 
" Thu, Mar 28 - 7:00 PM ", RR , DC ,Sawai Mansingh Stadium • Jaipur 
" Wed, Mar 27 - 7:00 PM ", SRH , MI ,Rajiv Gandhi International Stadium • Hyderabad 
" Tue, Mar 26 - 7:00 PM ", CSK , GT ,MA Chidambaram Stadium • Chennai 
" Mon, Mar 25 - 7:00 PM ", PBKS , RCB ,M.Chinnaswamy Stadium • Bengaluru 
" Sun, Mar 24 - 7:00 PM ", GT , MI ,Narendra Modi Stadium • Ahmedabad 
" Sun, Mar 24 - 3:00 PM ", RR , LSG ,Sawai Mansingh Stadium • Jaipur 
" Sat, Mar 23 - 7:00 PM ", KKR , SRH ,Eden Gardens • Kolkata 
" Sat, Mar 23 - 3:00 PM ", DC , PBKS ,Maharaja Yadavindra Singh International Cricket Stadium • Chandigarh 
" Fri, Mar 22 - 8:00 PM ", RCB , CSK ,MA Chidambaram Stadium • Chennai 
